Marca;Modelo;Version;Kms;Potencia;Año;Combustible;Cambio;Precio;Distribuidor
SEAT;León;SEAT Leon 1.2 TSI 81kW 110CV StSp Style Visio 5p.;15074.0;110.0;2018.0;Gasolina;Manual;14900;Yamovil
NISSAN;JUKE;NISSAN JUKE G E6DTemp 83 kW112 CV 5MT NCONNECTA 5p.;12800.0;112.0;2019.0;Gasolina;Manual;14900;Arvesa
CITROEN;C3 Aircross;CITROEN C3 Aircross PureTech 81kW 110CV SS FEEL 5p.;17841.0;110.0;2018.0;Gasolina;Manual;14900;GRUP ANDREU
SKODA;Octavia;SKODA Octavia 1.0 TSI 85KW 115CV Ambition 5p.;8451.0;115.0;2019.0;Gasolina;Manual;14900;Málaga Ocasión
SUZUKI;SCross;SUZUKI SCross 1.0 DITC GLX 5p.;17000.0;111.0;2019.0;Gasolina;Manual;14980;Ocasion Auto
PEUGEOT;208;PEUGEOT 208 5P GTLine 1.2L PT EAT6 81KW 110CV SS 5p.;18911.0;110.0;2019.0;Gasolina;Automático;14985;REKORD MOTOR
PEUGEOT;208;PEUGEOT 208 5P GTLine 1.2L PT EAT6 81KW 110CV SS 5p.;18854.0;110.0;2019.0;Gasolina;Automático;14985;REKORD MOTOR
SEAT;Arona;SEAT Arona 1.0 TSI 85kW 115CV Style Ecomotive 5p.;17437.0;115.0;2019.0;Gasolina;Manual;14990;Das Weltauto Gil Automocion
CITROEN;C4 Cactus;CITROEN C4 Cactus PureTech 110 SS Feel 5p.;15.0;110.0;2019.0;Gasolina;Manual;14990;Auto Girona
SUZUKI;SCross;SUZUKI SCross 1.0 DITC GLX 5p.;19000.0;111.0;2019.0;Gasolina;Manual;14990;Autos Roso
PEUGEOT;308;PEUGEOT 308 5p Style 1.2 PureTech 81KW 110CV 5p.;0.0;110.0;2020.0;Gasolina;Manual;14990;Clicars
SUZUKI;SCross;SUZUKI SCross 1.0 DITC GLX 5p.;19000.0;111.0;2019.0;Gasolina;Manual;14990;Gestican Automoviles
CITROEN;C4 Cactus;CITROEN C4 Cactus PureTech 110 SS Feel 5p.;16359.0;110.0;2019.0;Gasolina;Manual;14990;Urkiola Motor
CITROEN;C4 Cactus;CITROEN C4 Cactus PureTech 110 SS Feel 5p.;10.0;110.0;2019.0;Gasolina;Manual;14990;Automotor RAM
RENAULT;Mégane;RENAULT Megane Limited Blue dCi 85 kW 115CV 5p.;11689.0;115.0;2019.0;Diésel;Manual;14990;Renault Retail Group
CITROEN;C3 Aircross;CITROEN C3 Aircross PureTech 81kW 110CV SS FEEL 5p.;0.0;110.0;2020.0;Gasolina;Manual;14990;Clicars
CITROEN;C3;CITROEN C3 PureTech 81KW 110CV SS SHINE EAT6 5p.;0.0;110.0;2020.0;Gasolina;Automático;14990;Clicars
PEUGEOT;2008;PEUGEOT 2008 Allure 1.2 PureTech 96KW 130CV 5p.;16244.0;130.0;2019.0;Gasolina;Manual;14990;OK Cars
VOLKSWAGEN;Golf;VOLKSWAGEN Golf Advance 1.0 TSI 85kW 115CV 5p.;19000.0;115.0;2018.0;Gasolina;Manual;14990;Autos Roso
SUZUKI;SCross;SUZUKI SCross 1.0 DITC GLX 5p.;19000.0;111.0;2019.0;Gasolina;Manual;14999;Autos Ponce
CITROEN;C 3;1.2 e-THP Feel;12650.0;110.0;2019.0;Gasolina;Manual;14999;Autohero.com
CITROEN;C4 Cactus;CITROEN C4 Cactus PureTech 130 SS EAT6 Shine Pack 5p.;11000.0;130.0;2020.0;Gasolina;Automático;15000;ab02fceb9689114b1cd1844e456c0695
PEUGEOT;Partner;PEUGEOT Partner Premium Standard 600kg PureTech 81kW;5.0;110.0;2020.0;Gasolina;Manual;15000;Garbu Motor
PEUGEOT;2008;PEUGEOT 2008 Allure 1.2 PureTech 81KW 110CVSS EAT6 5p.;12544.0;110.0;2018.0;Gasolina;Manual;15000;GRUPO DIMOLK
HYUNDAI;i30;HYUNDAI i30 1.0 TGDI Essence IM 0 5p.;15.0;120.0;2020.0;Gasolina;Manual;15000;HYUNDMAR
