Marca,Modelo,Version,Precio,Combustible,Año,Kms,Potencia,Puertas,Cambio,Color,Distribuidor
Peugeot,2008,1.6 Blue-HDi Style,15899,Diésel,2018-01-01,20578.0,100,5,Manual,Gris,Autohero.com
Mercedes-Benz,Clase B,B 180 d Urban,20599,Diésel,2018-01-01,20820.0,110,5,Automático,Negro,Autohero.com
Citroen,C4 Cactus,1.6 e-HDi ETG Feel,12099,Diésel,2014-01-01,20843.0,92,5,Automático,Marrón,Autohero.com
Ford,Focus,1.0 EcoBoost Active,18999,Gasolina,2020-01-01,20882.0,125,5,Manual,Plata,Autohero.com
Nissan,Micra,1.5 dCi Acenta,14199,Diésel,2017-01-01,21005.0,90,5,Manual,Azul,Autohero.com
Renault,Clio,1.6 Hybrid E-Tech Zen,21999,Híbrido,2022-01-01,21119.0,91,5,Automático,Rojo,Autohero.com
Ford,Focus,1.0 EcoBoost Mild-Hybrid ST-Line,20699,Gasolina,2020-01-01,21269.0,125,5,Manual,Azul,Autohero.com
Ford,Ecosport,1.0 EcoBoost Trend,14599,Gasolina,2017-01-01,21207.0,125,5,Manual,Blanco,Autohero.com
Peugeot,208,1.2 PureTech Allure,15999,Gasolina,2020-01-01,21387.0,101,5,Manual,Blanco,Autohero.com
Seat,Ibiza,1.0 MPI Style,12999,Gasolina,2018-01-01,21397.0,80,5,Manual,Blanco,Autohero.com
Jeep,Renegade,1.0 TGDi Limited 4x2,19099,Gasolina,2020-01-01,21610.0,120,5,Manual,Azul,Autohero.com
Seat,Ibiza,1.0 TSI Reference,12799,Gasolina,2018-01-01,21947.0,95,5,Manual,Azul,Autohero.com
Fiat,500,1.2 Lounge,8599,Gasolina,2012-01-01,21713.0,70,3,Manual,Blanco,Autohero.com
Mazda,CX 3,2.0 Skyactiv-G Zenith,20799,Gasolina,2019-01-01,22237.0,121,5,Automático,Rojo,Autohero.com
Skoda,Superb,1.5 TSI Style,26999,Gasolina,2020-01-01,22875.0,150,5,Automático,Marrón,Autohero.com
Dacia,Duster II,1.6 SCe Essential,13899,Gasolina,2018-01-01,22841.0,114,5,Manual,Plata,Autohero.com
Toyota,C-HR,2.0 Hybrid Advance,27599,Híbrido,2022-01-01,23446.0,184,5,Automático,Azul,Autohero.com
Cupra,Formentor,1.5 TSI,28099,Gasolina,2021-01-01,23558.0,150,5,Automático,Blanco,Autohero.com
Kia,Sportage,1.6 CRDi Mild-Hybrid Business 4WD,22699,Diésel,2021-01-01,23612.0,136,5,Manual,Blanco,Autohero.com
Chevrolet,Aveo,1.4 LS,6199,Gasolina,2012-01-01,23614.0,100,5,Manual,Gris,Autohero.com
Suzuki,SX4 S-Cross,1.0 DITC GLX,17599,Gasolina,2019-01-01,23704.0,110,5,Manual,Blanco,Autohero.com
Peugeot,2008,1.2 PureTech Allure,16899,Gasolina,2019-01-01,23743.0,130,5,Manual,Negro,Autohero.com
Renault,Arkana,1.3 TCe Intens EDC Mild Hybrid,23899,Gasolina,2021-01-01,24086.0,140,5,Automático,Blanco,Autohero.com
Seat,Ibiza,1.0 MPI Style,12999,Gasolina,2018-01-01,21397.0,80,3,Manual,Blanco,Autohero.com
Seat,León,1.5 TSI Xcellence Edition,19699,Gasolina,2018-01-01,24366.0,150,5,Manual,Azul,Autohero.com
Renault,Captur,0.9 Energy Zen,12699,Gasolina,2015-01-01,24462.0,90,5,Manual,Naranja,Autohero.com
Jeep,Compass,1.4 Sport ,18799,Gasolina,2018-01-01,24330.0,140,5,Manual,Negro,Autohero.com
Dacia,Sandero II,1.5 Blue dCi SL Xplore,13499,Diésel,2019-01-01,24538.0,95,5,Manual,Rojo,Autohero.com
Fiat,500,1.2 Lounge,9099,Gasolina,2015-01-01,24619.0,70,3,Manual,Verde,Autohero.com
Kia,Sportage,1.6 CRDi Mild-Hybrid Drive 2WD,25699,Diésel,2021-01-01,24643.0,136,5,Manual,Rojo,Autohero.com
Seat,Tarraco,2.0 TDI Xcellence ,30999,Diésel,2019-01-01,24645.0,150,5,Automático,Gris,Autohero.com
Mitsubishi,ASX,1.6 Motion 160 MPI,16699,Gasolina,2019-01-01,24787.0,117,5,Manual,Blanco,Autohero.com
Kia,Sportage,1.6 TGDI GT Line Essential 2WD,25399,Gasolina,2021-01-01,25354.0,177,5,Manual,Blanco,Autohero.com
Kia,XCeed,1.5 TGDI Mild-Hybrid Drive,23499,Gasolina,2022-01-01,24959.0,160,5,Automático,Gris,Autohero.com
Renault,Clio,1.0 TCe Zen,15699,Gasolina,2020-01-01,25597.0,101,5,Manual,Naranja,Autohero.com
Peugeot,108,1.0 VTi Allure,11999,Gasolina,2019-01-01,25467.0,72,5,Automático,Rojo,Autohero.com
BMW,X1,sDrive 18d M,28399,Diésel,2019-01-01,25751.0,150,5,Automático,Blanco,Autohero.com
Land,Rover Evoque,D150 AWD,35399,Diésel,2019-01-01,26090.0,150,5,Automático,Rojo,Autohero.com
Fiat,500,1.2 Lounge,13499,Gasolina,2019-01-01,25835.0,70,3,Automático,Blanco,Autohero.com
Skoda,Octavia,2.0 TDI Scout 4x4,19799,Diésel,2015-01-01,26130.0,185,5,Automático,Plata,Autohero.com
Mercedes-Benz,Clase A,A 200,27999,Gasolina,2018-01-01,26345.0,163,5,Automático,Rojo,Autohero.com
Citroen,C-Elysée,1.2 PureTech Shine,11999,Gasolina,2019-01-01,26453.0,82,5,Manual,Marrón,Autohero.com
Seat,Ateca,2.0 TDI Xcellence Edition,24799,Diésel,2019-01-01,26466.0,150,5,Manual,Blanco,Autohero.com
Volvo,XC 40,1.5 Business Plus 2WD,31899,Gasolina,2019-01-01,26517.0,163,5,Automático,Blanco,Autohero.com
Opel,Corsa,1.4 Selective,10199,Gasolina,2015-01-01,26590.0,90,5,Manual,Blanco,Autohero.com
Ford,B-Max,1.0 EcoBoost Trend,9499,Gasolina,2013-01-01,26782.0,100,5,Manual,Rojo,Autohero.com
BMW,Serie 3,320d M Sport Mild-Hybrid,37499,Diésel,2021-01-01,26905.0,190,5,Automático,Blanco,Autohero.com
Skoda,Kamiq,1.0 TSI Active,17499,Gasolina,2020-01-01,27170.0,95,5,Manual,Blanco,Autohero.com
Dacia,Sandero II,0.9 TCe Stepway,8799,Gasolina,2013-01-01,27717.0,90,5,Manual,Gris,Autohero.com
Seat,León,1.5 TSI FR Edition,19399,Gasolina,2019-01-01,27893.0,150,5,Automático,Blanco,Autohero.com
Kia,cee'd,1.0 TGDI Tech,17499,Gasolina,2021-01-01,27898.0,120,5,Manual,Blanco,Autohero.com
Toyota,Yaris,1.6 GR 192kW High Performance,34499,Gasolina,2020-01-01,27928.0,261,3,Manual,Blanco,Autohero.com
Mazda,CX-30,2.0 Skyactiv-X Mild-Hybrid Evolution 2WD,24099,Gasolina,2020-01-01,27988.0,179,5,Manual,Rojo,Autohero.com
Toyota,Yaris,1.5 Hybrid Active,16599,Híbrido,2019-01-01,27993.0,75,5,Automático,Blanco,Autohero.com
Volkswagen,Polo,1.2 TSI Advance BlueMotion,12399,Gasolina,2017-01-01,28009.0,90,3,Manual,Negro,Autohero.com
Opel,Corsa,1.2 Selective,8399,Gasolina,2013-01-01,28061.0,85,5,Manual,Azul,Autohero.com
Peugeot,208,1.2 PureTech Style,11099,Gasolina,2017-01-01,28068.0,82,5,Manual,Blanco,Autohero.com
Citroen,Berlingo,1.2 PureTech Shine Talla XL,23099,Gasolina,2019-01-01,28114.0,110,5,Manual,Gris,Autohero.com
Opel,Corsa,1.4 Selective,11399,Gasolina,2018-01-01,28217.0,90,5,Manual,Rojo,Autohero.com
Peugeot,2008,1.2 PureTech Signature,14199,Gasolina,2019-01-01,28624.0,82,5,Manual,Negro,Autohero.com
Dacia,Sandero II,1.5 dCi SL Nomada 2018,12799,Diésel,2018-01-01,28938.0,90,5,Manual,Blanco,Autohero.com
MINI,Countryman,Cooper,21399,Gasolina,2018-01-01,29033.0,135,5,Automático,Gris,Autohero.com
Ford,C-Max,1.0 EcoBoost Trend,12899,Gasolina,2016-01-01,29378.0,125,5,Manual,Negro,Autohero.com
Seat,Ibiza,1.6 TDI Xcellence Plus,15299,Diésel,2019-01-01,29454.0,95,5,Manual,Marrón,Autohero.com
Ford,Focus,1.0 EcoBoost ST-Line,19399,Gasolina,2020-01-01,29590.0,125,5,Manual,Azul,Autohero.com
Skoda,Superb,1.4 PHEV Sportline iV,31699,Híbrido,2020-01-01,29686.0,218,5,Automático,Azul,Autohero.com
Dacia,Duster II, TCE GPF SL Xplore  4x2,17399,Gasolina,2019-01-01,29695.0,150,5,Manual,Blanco,Autohero.com
Ford,Ka+,1.2 Ti-VCT Ultimate,11299,Gasolina,2019-01-01,29831.0,86,5,Manual,Gris,Autohero.com
Volvo,XC 40,1.5 T3,26299,Gasolina,2019-01-01,30040.0,155,5,Manual,Blanco,Autohero.com
BMW,Serie 4,420d Sport Line,29299,Diésel,2019-01-01,30051.0,190,3,Automático,Blanco,Autohero.com
Dacia,Sandero II,1.0 Ambiance,8499,Gasolina,2017-01-01,30135.0,75,5,Manual,Blanco,Autohero.com
Citroen,C 3,1.2 PureTech Feel,11699,Gasolina,2019-01-01,30305.0,82,5,Manual,Naranja,Autohero.com
Fiat,500X,1.6 Pop Star,12299,Gasolina,2015-01-01,30251.0,110,5,Manual,Blanco,Autohero.com
Honda,HR-V,1.5 Executive,17899,Gasolina,2016-01-01,30410.0,130,5,Manual,Azul,Autohero.com
Peugeot,2008,1.2 PureTech Allure,16399,Gasolina,2019-01-01,30815.0,130,5,Manual,Gris,Autohero.com
Smart,ForFour,0.9 Passion,13799,Gasolina,2018-01-01,30984.0,90,5,Automático,Rojo,Autohero.com
Audi,A1,35 TFSI Sportback ,23199,Gasolina,2020-01-01,31224.0,150,5,Automático,Blanco,Autohero.com
Dacia,Sandero II,0.9 TCe Stepway Essential,10999,Gasolina,2019-01-01,31236.0,90,5,Manual,Blanco,Autohero.com
Skoda,Rapid,1.0 TSI Like,12599,Gasolina,2018-01-01,31266.0,95,5,Manual,Azul,Autohero.com
Renault,Kadjar,1.5 BLUE dCi Zen,22799,Diésel,2020-01-01,31358.0,116,5,Automático,Azul,Autohero.com
Audi,A3 Limousine,35 TDI S line,34099,Diésel,2021-01-01,31455.0,150,5,Automático,Negro,Autohero.com
Opel,Corsa,1.4 120 Aniversario,11299,Gasolina,2019-01-01,31488.0,90,3,Manual,Azul,Autohero.com
Citroen,C 3,1.2 PureTech Origins,12499,Gasolina,2019-01-01,31526.0,82,5,Manual,Gris,Autohero.com
Kia,Sportage,1.6 Hybrid Tech,33399,Híbrido,2022-01-01,31527.0,179,5,Automático,Gris,Autohero.com
Ford,Fiesta,1.2 Trend,8799,Gasolina,2013-01-01,31528.0,82,3,Manual,Plata,Autohero.com
Toyota,Auris Touring Sports,1.8 Hybrid Feel!,17399,Híbrido,2018-01-01,31727.0,100,5,Automático,Blanco,Autohero.com
Skoda,Fabia,1.0 MPI Ambition,10499,Gasolina,2017-01-01,31738.0,75,5,Manual,Gris,Autohero.com
Volvo,V40,2.0 T2 Momentum,17799,Gasolina,2017-01-01,31963.0,122,5,Manual,Rojo,Autohero.com
Seat,Ibiza,1.0 TSI Style,15399,Gasolina,2020-01-01,31984.0,95,5,Manual,Azul,Autohero.com
Mazda,CX-30,2.0 Mild-Hybrid Skyactiv-G Origin 2WD,22999,Gasolina,2020-01-01,32055.0,122,5,Manual,Rojo,Autohero.com
Seat,Ibiza,1.0 MPI Reference,12999,Gasolina,2020-01-01,32121.0,80,5,Manual,Blanco,Autohero.com
Skoda,Kamiq,1.5 TSI ACT Ambition,23799,Gasolina,2020-01-01,32209.0,150,5,Automático,Azul,Autohero.com
