Marca,Modelo,Version,Precio,Combustible,Antiguedad,Kms_desde,Kms_hasta,Potencia,Cambio,Vehiculo,Url_foto,categoria,Caracteristicas,Grupo,Puede_comprarse,Plazas,Estado,Centimetros_cubicos
Ford,Fiesta,1.1 Ti-VCT Trend+,365.0,GAS,2019-01-01,20000.0,70000.0,85,MANUAL,Ford Fiesta,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/6093f90d320cff0086bc58eb/vehicle-images/64830b11cdcd8a26abbebfab_2023_06_09_13_20_49.png,Utilitario,,1,True,5,OPPORTUNITY,1084.0
Volkswagen,Arteon,2.0 TDI  DSG,0.0,DIESEL,2018-01-01,90000.0,130000.0,150,AUTOMATIC,Volkswagen Arteon,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/602ce66303fb6c00a0e0df4f/vehicle-images/6362a00fe6988dd395fccc31_2022_11_02_17_51_27.png,Berlian,"150 Cv,5 Plazas,Manual,Diesel,Negro",1,True,5,OPPORTUNITY,2000.0
Audi,A1,30 TFSi S Line,479.0,GAS,2019-01-01,20000.0,60000.0,116,MANUAL,Audi A1,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/5e68ae05cb14fd00a938e543/vehicle-images/62437cfa594174a2ca6e8b1f_2022_03_29_23_41_14.png,Utilitario,"Gasolina,116 Cv,5 Plazas,Manual,S Line",1,True,5,OPPORTUNITY,1000.0
Mini,Countryman,1.5 Countryman,0.0,GAS,2018-01-01,20000.0,90000.0,136,MANUAL,Mini Countryman,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/5ccfef67ddaec80022fe4f66/vehicle-images/6243866d227b6be55eb43833_2022_03_30_00_21_33.png,B-SUV,"Gasolina,136 Cv,Manual,5 Plazas,Verde,Cooper,Nuevo",1,True,5,OPPORTUNITY,1500.0
Fiat,500,Hybrid Dolcevita,349.0,HYBRID,2021-01-01,20000.0,50000.0,70,MANUAL,Fiat 500,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/615dade0843dbc008731ed0f/vehicle-images/624ac423f8445bc9beb8805b_2022_04_04_12_10_43.png,CityCar,,2,True,4,OPPORTUNITY,999.0
Mercedes-Benz,GLC,250 4MATIC,599.0,GAS,2018-01-01,30000.0,60000.0,211,AUTOMATIC,Mercedes-Benz GLC,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/606302b82faf7e00955e1a1f/vehicle-images/6294a2f1dba55985b10a50f9_2022_05_30_12_56_49.png,D-SUV,"170 Cv,5 Plazas,Automatico,Diesel,Gris",1,True,5,OPPORTUNITY,2000.0
Renault,Clio,1.0 TCe Business,299.0,GAS,2019-01-01,20000.0,85000.0,75,MANUAL,Renault Clio,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/5fb540bc5f9db800d484c011/vehicle-images/62cc03faccc7099ce7085009_2022_07_11_13_05_30.png,Utilitario,"90 Cv de potencia,Color disponible Blanco,Acabado Business",1,True,5,OPPORTUNITY,998.0
Renault,Megane,1.5 dCi Business,339.0,DIESEL,2019-01-01,70000.0,110000.0,90,MANUAL,Renault Megane,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/5fad0aa5e3066000a9401647/vehicle-images/63e647b22ebea1d878a08287_2023_02_10_14_33_38.png,Compacto,"90 Cv de potencia,Color disponible Blanco,Acabado Business",1,True,5,OPPORTUNITY,1500.0
Jeep,Compass,1.6 Mutijet,459.0,DIESEL,2019-01-01,40000.0,60000.0,120,MANUAL,Jeep Compass,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/62d7e2392c6a092d4c953fbd/vehicle-images/6499800d1139d558c1d9c10a_2023_06_26_14_09_49.png,C-SUV,,1,True,5,OPPORTUNITY,1598.0
BMW,X3,xDrive20i,675.0,GAS,2019-01-01,20000.0,45000.0,184,AUTOMATIC,BMW X3,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/60c734575a423b008c6710df/vehicle-images/6283c1b2da7e5a3b8f27dd11_2022_05_17_17_39_30.png,D-SUV,,1,True,5,OPPORTUNITY,1995.0
